excRxnIds	rates_01	rates_25	rates_50	rates_75	rates_99
fecosterol exchange	0.0289748722197578	0.026523078255013	0.0229513100784216	0.0188144677068497	0.00112664130669227
formate exchange	3.97733142406736	3.43328560168418	2.86657120336836	2.29985680505255	0.15134726204329
fumarate exchange	1.49149671210868	1.28741780271689	0.890449491035963	0.452027277809214	0.018082826891898
glycerol exchange	1.55527361763406	1.17823796996118	0.785492503635263	0.392747037309346	0.0157113896364772
L-glycine exchange	2.98299342421734	2.49030459129302	1.73315662579441	0.933418416720819	0.0373403209848147
glyoxylate exchange	2.98299342421736	2.57483560543377	1.84910169568789	1.10550145481771	0.0456348762496541
hypoxanthine exchange	0.759875898408564	0.660846261780339	0.51425052864862	0.258105566146701	0.0108454024425405
indol-3-ylacetaldehyde exchange	0.439310669218288	0.335448196387025	0.22632665957033	0.115945386225347	0.00598576393554543
isoamylol exchange	0.745615227117711	0.586636422738646	0.399392027660861	0.199782775408212	0.00809943498999729
isobutanol exchange	0.582565648568089	0.4537271615046	0.31052338296101	0.160390889449457	0.00659940415654205
isobutyraldehyde exchange	0.596599713610104	0.46925618519924	0.323583452450723	0.167136649275182	0.00690028691817769
L-alanine exchange	1.98816426822834	1.60919121879199	1.07279486105719	0.536398503322388	0.0214579998969697
L-arginine exchange	0.535304003007737	0.406299551534707	0.271919914583631	0.137235263035865	0.00556435966480846
L-asparagine exchange	1.46698052425388	1.1113492412344	0.740899988089085	0.370450734943788	0.0148194519243156
L-aspartate exchange	1.49149671210868	1.28741780271689	0.964751871156165	0.482376900329001	0.0192969283348952
L-cysteine exchange	1.20599467116189	0.913632621953285	0.609088820694334	0.304545019435384	0.0121829702267813
L-glutamate exchange	1.11537566314466	0.877516595466987	0.599547794091961	0.304545019435383	0.0121829702267802
L-glutamine exchange	1.07202194091106	0.842037789130935	0.565727264922768	0.286338589673587	0.0114546431238276
L-histidine exchange	0.772639690531113	0.585694444865367	0.39095981396356	0.196225183061744	0.00802293990750924
L-homoserine exchange	1.40900457049226	1.06742804994551	0.711619174375991	0.355810298806454	0.0142337782597055
L-isoleucine exchange	0.758988460512406	0.575031640861358	0.383409953724852	0.191788266588351	0.00777094634635413
L-leucine exchange	0.745615227117711	0.586636422738652	0.399392027660861	0.199782775408209	0.00809943499000462
L-lysine exchange	0.706148204719535	0.551683507879092	0.37065130097968	0.186195033263362	0.00744851631731572
L-methionine exchange	0.720542491765986	0.545865700506521	0.363910709611248	0.181955718715969	0.00727892745650396
L-phenylalanine exchange	0.545657053831705	0.415039232522326	0.278979001991726	0.142918771461124	0.00800937606230759
L-proline exchange	0.96890667919415	0.736800383388087	0.495022991923441	0.248694020336468	0.00994871579563354
L-serine exchange	1.98866228281157	1.65860001419776	1.10573407995382	0.552868145709908	0.0221168488357238
L-threonine exchange	1.31157202136179	0.993615488866852	0.662410767517982	0.331206046169081	0.0132495136741591
L-tryptophan exchange	0.426798844138493	0.325894435345906	0.219832041704243	0.112618244039355	0.00575803444475103
L-tyrosine exchange	0.566278961553317	0.430724727090427	0.289522399524921	0.148320071959412	0.00845692071855594
L-valine exchange	0.582565648568089	0.453727161504597	0.310523382961014	0.160390889449453	0.00659940415653935
lanosterol exchange	0.119370743982198	0.0948052454676074	0.063491495749268	0.0317458113660671	0.00126995435819289
ornithine exchange	0.620734151122255	0.473049505238702	0.316592968346773	0.159119742058248	0.00636540070031031
oxaloacetate(2-) exchange	1.49149671210867	1.28741780271689	1.07483560543378	0.552868145709883	0.0221168488357063
palmitate exchange	0.249558755039296	0.193674663475938	0.129621072482724	0.0648106658623061	0.00259267550670615
palmitoleate exchange	0.245959114713358	0.19049731009468	0.127437978315433	0.0637191165955682	0.00254900934449726
phenylacetaldehyde exchange	0.566278961553314	0.430724727090427	0.289522399524921	0.148320071959416	0.00845692071854806
putrescine exchange	0.620734151122255	0.473049505238701	0.316592968346779	0.159119742058249	0.00636540070031345
pyruvate exchange	1.98866228281157	1.71655707028919	1.2500229986081	0.625012749325799	0.0250029100148098
sn-glycero-3-phosphocholine exchange	0.0757756578015969	0.0663631549725275	0.0504603021345761	0.0305210985336629	0.00391530420977166
spermidine exchange	0.364890027998712	0.276954130554522	0.18535423738349	0.0932644765960236	0.0037582013811049
spermine exchange	0.25795765967935	0.19579170126465	0.131035494582671	0.0658085155294727	0.00266616785002835
stearate exchange	0.221045446457572	0.171068049836864	0.114268333245856	0.0571342808911483	0.00228559063062625
succinate exchange	1.49149671210868	1.19143440913003	0.800471116988315	0.403783597678865	0.0161528944315008
sulphite exchange	4.67923698637821	4.05412161819014	2.9330504937742	1.46652817993469	0.0586667586487564
thymidine exchange	0.482916232923978	0.365873578540923	0.243954146891917	0.122034715242912	0.00499206085986191
tryptophol exchange	0.426798844138495	0.325894435345905	0.219832041704247	0.11261824403936	0.00575803444474916
zymosterol exchange	0.0735060635213397	0.0663746538251661	0.0560688981945818	0.0295167377560034	0.00118078285417258
growth	0.100811454375709	0.100811454375709	0.100811454375709	0.10081145437571	0.10081145437571
14-demethyllanosterol exchange	0.0774644438229668	0.0702616961438574	0.0593135654438634	0.0309662970872075	0.00123877079371217
ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange	0.0698569594221538	0.0629015302279761	0.0531389709075545	0.0281633289958522	0.00112664130669412
oleate exchange	0.217919320041146	0.16855263541268	0.112568367208003	0.0562842961722561	0.00225158797793808
Ala-Gly exchange	1.19319736968695	0.983307674617447	0.680967529833926	0.340643950192013	0.0136270660765466
3-oxalomalate(3-) exchange	0.994331141405784	0.858278535144594	0.716557070289188	0.372390066526719	0.0148970326346431
D-glucose 6-phosphate exchange	0.909314123222322	0.688874558440933	0.459250011793656	0.229625465146381	0.009185900364997
D-glucose 1-phosphate exchange	0.909314123222322	0.688874558440935	0.459250011793661	0.22962546514638	0.00918590036500266
glycerone exchange	1.73542883294986	1.31471923780042	0.876480076186413	0.438240914572421	0.0175313194229724
Ala-Leu exchange	0.548832710391833	0.431811537903844	0.29105737490383	0.145591915046159	0.00587999858057645
Met-Ala exchange	0.538032494702623	0.407600506524327	0.271733852171935	0.13586719781955	0.00543520964125547
L-citrulline exchange	0.567325112489437	0.430603801734519	0.288185769698136	0.144698497267625	0.00578849553126816
2-aminobutanoate exchange	1.20599467116188	0.913632621953283	0.609088820694327	0.304545019435374	0.0121829702267935
choline phosphate exchange	0.399003547272973	0.348688547679872	0.275917371352071	0.138005381606678	0.00560987145111097
2-phospho-D-glyceric acid exchange	1.98866228281157	1.65860001419777	1.10573407995382	0.5528681457099	0.0221168488356958
GMP exchange	0.499850704581749	0.378908544983409	0.252927128735134	0.126945712486855	0.00513969737276759
3-phospho-serine exchange	1.98866228281157	1.65860001419776	1.10573407995382	0.552868145709893	0.0221168488356945
O-phosphonatooxy-D-serine(2-) exchange	1.98866228281157	1.71655707028919	1.25002299860809	0.625012749325794	0.0250029100148069
diphosphate exchange	14.3218572036301	12.5446803063419	9.94037234128664	5.33122517859675	0.906443902414387
phosphoenolpyruvate exchange	1.98866228281157	1.65860001419776	1.10573407995383	0.552868145709899	0.0221168488357233
N(omega)-phospho-L-arginine exchange	0.520611752002676	0.395148028361236	0.264456649568066	0.133433849206431	0.00540732715726012
carbamoyl phosphate exchange	5.96598684843469	4.7896682632221	3.19311430422223	1.59656034522224	0.0638685445822344
6-phospho-D-gluconate exchange	0.968070376242132	0.73338688572255	0.488924916431316	0.244462947140091	0.00977945662051145
D-mannose 6-phosphate exchange	0.909314123222323	0.688874558440933	0.45925001179366	0.229625465146382	0.00918590036500537
3-phosphonato-D-glycerate(3-) exchange	1.98866228281157	1.65860001419777	1.10573407995382	0.552868145709889	0.0221168488357197
D-mannose 1-phosphate exchange	0.909314123222322	0.688874558440935	0.459250011793656	0.229625465146383	0.00918590036500393
AMP exchange	0.509710110853487	0.386382403178627	0.257916041017309	0.129449678855995	0.00534034468960525
N(alpha)-acetyl-L-methionine exchange	0.597940780718775	0.452985586357996	0.301990592232196	0.150995598106389	0.00604040374561093
L-Methionine S-oxide exchange	0.756947275245575	0.573445090844995	0.382296982094402	0.191148873343807	0.00764668894322569
3-sulfino-L-alanine exchange	1.20599467116188	0.913632621953289	0.609088820694338	0.304545019435385	0.012182970226785
N-acetyl-L-cysteine exchange	0.857282076939161	0.649456328818508	0.432971174526163	0.216486020233831	0.00866027211317742
acetoacetate exchange	0.850593167666718	0.67144921984882	0.472019346034017	0.24453824164903	0.0177500278297935
N-acetyl-L-glutamate exchange	0.640642182012649	0.569104978678418	0.421533154974119	0.213272821963962	0.00853173184373113
UMP exchange	0.607681185163506	0.460364683019474	0.306909993286114	0.153455303552743	0.00613880140870592
CMP exchange	0.554396179115212	0.420029189646705	0.28006357561702	0.140097961587331	0.00573097211882398
