rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_4541	O(4)-phospho-L-tyrosine exchange	3777	O(4)-phospho-L-tyrosine[e] => 	0	0	0	0	0
r_4542	O-phospho-L-threonine exchange	3778	O-phospho-L-threonine[e] => 	0	0	0	0	0
r_4543	3-phosphonato-D-glycerate(3-) exchange	3779	3-phosphonato-D-glycerate(3-)[e] => 	2	1.64206295772367	1.12019279595825	0.564162692301562	0.022568674076379
r_4544	adenosine 2'-phosphate exchange	3780	adenosine 2'-phosphate[e] => 	0	0	0	0	0
r_4545	3'-AMP exchange	3781	3'-AMP[e] => 	0	0	0	0	0
r_4546	2',3'-cyclic AMP exchange	3782	2',3'-cyclic AMP[e] => 	0	0	0	0	0
r_4547	D-mannose 1-phosphate exchange	3783	D-mannose 1-phosphate[e] => 	0.942208845903792	0.707989797642039	0.471993513093733	0.235997228535161	0.00944079536523101
r_4548	AMP exchange	3784	AMP[e] => 	0.562220128769856	0.426204576381792	0.287190142442114	0.145769664680603	0.00603374319397352
r_4549	N(alpha)-acetyl-L-methionine exchange	3785	N(alpha)-acetyl-L-methionine[e] => 	0.565892365666978	0.428902237205044	0.286858493153059	0.143429533435442	0.00573773210593585
r_4550	L-Methionine S-oxide exchange	3786	L-Methionine S-oxide[e] => 	0.738876719771563	0.554157724546167	0.369438729282113	0.184719734100611	0.00738949867029684
r_4551	3-sulfino-L-alanine exchange	3787	3-sulfino-L-alanine[e] => 	1.13752344850416	0.861189534484234	0.574243658509976	0.287122403497806	0.0114859986860742
r_4552	N-acetyl-L-cysteine exchange	3788	N-acetyl-L-cysteine[e] => 	0.801523330960094	0.607439932782649	0.412878259819906	0.20663573110229	0.00826622272328438
r_4553	L-cysteate exchange	3789	L-cysteate[e] => 	0	0	0	0	0
r_4554	2-hydroxyethane-1-sulfonate exchange	3790	2-hydroxyethane-1-sulfonate[e] => 	0	0	0	0	0
