rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_4539	D-mannose 6-phosphate exchange	3775	D-mannose 6-phosphate[e] => 	1.86118768212966	1.4037486031593	0.940333767169995	0.472570315941357	0.0189046273008745
r_4540	2',3'-cyclic GMP exchange	3776	2',3'-cyclic GMP[e] => 	0	0	0	0	0
r_4541	O(4)-phospho-L-tyrosine exchange	3777	O(4)-phospho-L-tyrosine[e] => 	0	0	0	0	0
r_4542	O-phospho-L-threonine exchange	3778	O-phospho-L-threonine[e] => 	0	0	0	0	0
r_4543	3-phosphonato-D-glycerate(3-) exchange	3779	3-phosphonato-D-glycerate(3-)[e] => 	4	3.23630456458495	2.17837070088769	1.10482709720054	0.0445198725267284
r_4544	adenosine 2'-phosphate exchange	3780	adenosine 2'-phosphate[e] => 	0	0	0	0	0
r_4545	3'-AMP exchange	3781	3'-AMP[e] => 	0	0	0	0	0
r_4546	2',3'-cyclic AMP exchange	3782	2',3'-cyclic AMP[e] => 	0	0	0	0	0
r_4547	D-mannose 1-phosphate exchange	3783	D-mannose 1-phosphate[e] => 	1.90821404936951	1.43327801683854	0.95551931490302	0.477760612971843	0.0191122591117237
r_4548	AMP exchange	3784	AMP[e] => 	1.11053413599257	0.836388407946856	0.56224267990217	0.288096951853606	0.0120457996031042
r_4549	N(alpha)-acetyl-L-methionine exchange	3785	N(alpha)-acetyl-L-methionine[e] => 	1.14308656233821	0.866976530492146	0.583274928125324	0.294187129756535	0.011772824530702
r_4550	L-Methionine S-oxide exchange	3786	L-Methionine S-oxide[e] => 	1.4958065259341	1.12349672356793	0.751186921204367	0.378877118838231	0.0152212514093338
r_4551	3-sulfino-L-alanine exchange	3787	3-sulfino-L-alanine[e] => 	2.29776517093876	1.74259580985372	1.16762074903556	0.588914387088242	0.0238911242094643
r_4552	N-acetyl-L-cysteine exchange	3788	N-acetyl-L-cysteine[e] => 	1.61905444322634	1.22787024730875	0.836686051390234	0.423828839046588	0.0170625854996676
r_4553	L-cysteate exchange	3789	L-cysteate[e] => 	0	0	0	0	0
r_4554	2-hydroxyethane-1-sulfonate exchange	3790	2-hydroxyethane-1-sulfonate[e] => 	0	0	0	0	0
r_4555	acetoacetate exchange	3791	acetoacetate[e] => 	0	0	0	0	0
r_4556	N-acetyl-L-glutamate exchange	3792	N-acetyl-L-glutamate[e] => 	1.4779245436785	1.13994222347202	0.788723074013303	0.406972766138832	0.0164496716735587
r_4557	UMP exchange	3793	UMP[e] => 	1.26747242116796	0.952896036547543	0.638319651927791	0.322217789712138	0.0128899489012385
r_4558	CMP exchange	3794	CMP[e] => 	1.20714473032431	0.907555314343183	0.607965898362221	0.30428784672099	0.0122957880616441
r_4559	thymidine 5'-monophosphate exchange	3795	thymidine 5'-monophosphate[e] => 	0	0	0	0	0
r_4560	thymidine 3'-monophosphate exchange	3796	thymidine 3'-monophosphate[e] => 	0	0	0	0	0
r_4561	cytidine 2'-phosphate exchange	3797	cytidine 2'-phosphate[e] => 	0	0	0	0	0
r_4562	uridine 2'-phosphate exchange	3798	uridine 2'-phosphate[e] => 	0	0	0	0	0
r_4563	3'-UMP exchange	3799	3'-UMP[e] => 	0	0	0	0	0
r_4564	2',3'-cyclic CMP exchange	3800	2',3'-cyclic CMP[e] => 	0	0	0	0	0
r_4565	2',3'-cyclic UMP exchange	3801	2',3'-cyclic UMP[e] => 	0	0	0	0	0
r_4593	chloride exchange	3826	chloride[e] <=> 	0	-6.66981122776633e-05	-0.000133396224555327	-0.00020009433683299	-0.000264124524619547
r_4594	Cu2(+) exchange	3827	Cu2(+)[e] <=> 	0	-3.40729110348548e-05	-6.81458221833964e-05	-0.000102218733218251	-0.000134928727902661
r_4595	Mn(2+) exchange	3828	Mn(2+)[e] <=> 	0	-0.000141151817615537	-0.000282303635117387	-0.000423455452732924	-0.000558961197612007
r_4596	Zn(2+) exchange	3829	Zn(2+)[e] <=> 	0	-3.86745625746698e-05	-7.73491251493397e-05	-0.00011602368772401	-0.000153151267682006
r_4597	Mg(2+) exchange	3830	Mg(2+)[e] <=> 	0	-6.42443944798288e-05	-0.000128488789073344	-0.000192733183553173	-0.000254407802344758
r_4598	cofactor pseudoreaction	3831	 => cofactor[c]	0.206816031756567	0.206816031756565	0.206816031756565	0.206816031756565	0.206816031756565
r_4600	Ca(2+) exchange	3833	Ca(2+)[e] <=> 	0	-1.12197592443408e-05	-2.24395184886816e-05	-3.36592777330225e-05	-4.44302465893998e-05
r_5234	Mannitol exchange	3985	Mannitol[e] => 	1	1	0.846922099681768	0.423461896762314	0.0169401019557353
r_5236	N-Acetyl-D-glucosamine exchange	3986	N-Acetyl-D-glucosamine[e] => 	0	0	0	0	0
lac_ex	lactose exchange	3988	lactose[e] <=> 	-0.0123168889182134	-0.25894365681699	-0.505962108518986	-0.752980560222899	-0.990118273857658
