exchRxns	exchNames	allGrowthRates
r_4528	triphosphate exchange	55.2497313010463
r_4529	phosphoenolpyruvate exchange	55.2217157250285
r_4530	N(omega)-phospho-L-arginine exchange	48.2279124107172
r_4531	carbamoyl phosphate exchange	47.8823014356665
r_4532	O-phosphoethanolamine exchange	47.8823014356665
r_4533	cysteamine S-phosphate exchange	47.8823014356664
r_4534	guanosine 2'-monophosphate exchange	47.8823014356665
r_4535	glycerol 2-phosphate(2-) exchange	47.8823014356665
r_4536	3'-GMP exchange	47.8723439837379
r_4537	2-phosphoglycolate exchange	47.6930066522016
r_4538	6-phospho-D-gluconate exchange	46.3155592740315
r_4539	D-mannose 6-phosphate exchange	46.2001233512717
r_4540	2',3'-cyclic GMP exchange	46.1363768075728
r_4541	O(4)-phospho-L-tyrosine exchange	46.0200751463522
r_4542	O-phospho-L-threonine exchange	44.6602610321086
r_4543	3-phosphonato-D-glycerate(3-) exchange	38.6127821174529
r_4544	adenosine 2'-phosphate exchange	38.6127821174528
r_4545	3'-AMP exchange	38.6127821174528
r_4546	2',3'-cyclic AMP exchange	38.6127821174528
r_4547	D-mannose 1-phosphate exchange	28.5624968506502
r_4548	AMP exchange	21.2455540246689
r_4549	N(alpha)-acetyl-L-methionine exchange	21.2455540246688
r_4550	L-Methionine S-oxide exchange	18.7721869802298
r_4551	3-sulfino-L-alanine exchange	18.7721869802283
r_4552	N-acetyl-L-cysteine exchange	18.7719201866368
r_4553	L-cysteate exchange	18.6052300990656
r_4554	2-hydroxyethane-1-sulfonate exchange	18.6052300990657
r_4555	acetoacetate exchange	18.6052300990657
r_4556	N-acetyl-L-glutamate exchange	16.9821121040405
r_4557	UMP exchange	16.9667663754841
r_4558	CMP exchange	16.9562148514704
r_4559	thymidine 5'-monophosphate exchange	16.9562148514704
r_4560	thymidine 3'-monophosphate exchange	16.8889799713298
r_4561	cytidine 2'-phosphate exchange	16.8854989499174
r_4562	uridine 2'-phosphate exchange	16.8854989499171
r_4563	3'-UMP exchange	16.881426932427
r_4564	2',3'-cyclic CMP exchange	16.8518035823819
r_4565	2',3'-cyclic UMP exchange	0
r_4593	chloride exchange	0
r_4594	Cu2(+) exchange	0
r_4595	Mn(2+) exchange	0
r_4596	Zn(2+) exchange	0
r_4597	Mg(2+) exchange	0
r_4598	cofactor pseudoreaction	0
r_4600	Ca(2+) exchange	0
r_5234	Mannitol exchange	0
r_5236	N-Acetyl-D-glucosamine exchange	0
lac_ex	lactose exchange	NaN
